timelineid,language,categorie,order,title,location,started,finished,description,description_ext,tags,logos,image_ext
secondary_math_science,en,education,5,"General Secondary Education: Mathematics-Science","Prizma Campus College Izegem","2017","2021","General secondary education with focus on mathematics and science.","This program emphasized mathematics and science, fostering critical thinking and problem-solving skills that are essential for further studies in STEM fields.","{""Mathematics"",""Science""}","{""/logos/prizma_tp.png""}",
secondary_math_science,nl,education,5,"Algemeen Secundair Onderwijs: Wiskunde-Wetenschappen","Prizma Campus College Izegem","2017","2021","ASO met focus op wiskunde en wetenschappen.","Dit programma legde de nadruk op wiskunde en wetenschappen, en stimuleerde kritisch denken en probleemoplossend vermogen, wat essentieel is voor verdere studies in STEM-richtingen.","{""Wiskunde"",""Wetenschappen""}","{""/logos/prizma_tp.png""}",
secondary_latin_start,en,education,6,"Start General Secondary Education: Latin","Prizma Middenschool Izegem","2015","2017","Start of general secondary education with Latin focus.","The Latin program introduced me to classical languages and enhanced my understanding of grammar, logic, and analytical thinking from an early age.","{""Latin"",""Mathematics""}","{""/logos/prizma_tp.png""}",
secondary_latin_start,nl,education,6,"Start Algemeen Secundair Onderwijs: Latijn","Prizma Middenschool Izegem","2015","2017","Start van ASO met focus op Latijn.","Het Latijn-programma introduceerde mij tot klassieke talen en verbeterde mijn begrip van grammatica, logica en analytisch denken vanaf jonge leeftijd.","{""Latijn"",""Wiskunde""}","{""/logos/prizma_tp.png""}",
youth_animator_2019_2024,en,hobbies,1,"Youth Animator","KSA Izegem","2019","2024","Organised activities, led groups and fostered community spirit as a youth animator.","As a youth animator, I planned and led group activities, promoted teamwork, and helped build a strong sense of community among young members.","{""Youth Animator"",""Leadership"",""Community"",""Volunteering"",""KSA""}","{""/logos/ksaizegem_tp.png""}",
youth_animator_2019_2024,nl,hobbies,1,"Jeugdanimator","KSA Izegem","2019","2024","Activiteiten georganiseerd, groepen geleid en gemeenschapsgevoel versterkt als jeugdanimator.","Als jeugdanimator heb ik groepsactiviteiten gepland en geleid, samenwerking gestimuleerd en bijgedragen aan een sterk gemeenschapsgevoel onder jongeren.","{""Jeugdanimator"",""Leiderschap"",""Community"",""Vrijwilligerswerk"",""KSA""}","{""/logos/ksaizegem_tp.png""}",
sax_specialisation_2022,en,hobbies,2,"Saxophone Specialisation Classical Music","Art'iz Music Academy","2022",,"Received specialisation certification in classical saxophone music.","I completed a classical saxophone specialization, developing advanced musical skills and deepening my appreciation for classical music performance.","{""Saxophone"",""Music"",""Classical"",""Certification""}","{""/logos/artiz_tp.png""}",
sax_specialisation_2022,nl,hobbies,2,"Saxofoon Specialisatie Klassieke Muziek","Art'iz Muziekacademie","2022",,"Specialisatiecertificaat klassieke saxofoon behaald.","Ik heb een specialisatie klassieke saxofoon afgerond, waarbij ik mijn muzikale vaardigheden heb verdiept en mijn waardering voor klassieke muziek heb vergroot.","{""Saxofoon"",""Muziek"",""Klassiek"",""Certificaat""}","{""/logos/artiz_tp.png""}",
lifeguard_cert_2020,en,hobbies,3,"Lifeguard Certification","VTS / RedFed","2020",,"Achieved official lifeguard certification enabling work in public pools.","Obtaining this certification allowed me to work as a lifeguard in public pools, where I ensured safety and provided emergency assistance when needed.","{""Certification"",""Lifeguard"",""Safety""}","{""/logos/redfed_tp.png""}",
lifeguard_cert_2020,nl,hobbies,3,"Redder Certificatie","VTS / RedFed","2020",,"Officieel redderscertificaat behaald voor openbare zwembaden.","Met deze certificatie kon ik als redder werken in openbare zwembaden, waar ik verantwoordelijk was voor veiligheid en het verlenen van noodhulp.","{""Certificaat"",""Redder"",""Veiligheid""}","{""/logos/redfed_tp.png""}",
architecture_school_2018_2020,en,hobbies,4,"Architectural School (Hobby)","Sask Roeselare","2018","2020","Studied architectural concepts and building design as a hobby.","I explored architectural principles and building design, gaining hands-on experience in creative construction and design thinking as a hobby.","{""Architecture"",""Design"",""Hobby""}","{""/logos/sask_tp.png""}",
architecture_school_2018_2020,nl,hobbies,4,"Architectuurschool (Hobby)","Sask Roeselare","2018","2020","Architecturale concepten en bouwontwerp als hobby bestudeerd.","Ik heb architecturale principes en bouwontwerp verkend, waarbij ik praktische ervaring opdeed in creatief bouwen en ontwerpdenken als hobby.","{""Architectuur"",""Design"",""Hobby""}","{""/logos/sask_tp.png""}",
first_pc_build_2019,en,hobbies,5,"Built My First Computer","","2019",,"Built a custom PC from scratch learning hardware components and assembly.","This project marked the beginning of my interest in technology and hardware. By selecting and assembling each component myself, I learned a lot about how computers work and how to solve technical problems.","{""DIY"",""PC Building"",""Hardware""}","{}",
first_pc_build_2019,nl,hobbies,5,"Eerste Computer Gebouwd","","2019",,"Een custom PC van nul gebouwd en hardwarecomponenten leren kennen.","Dit project markeerde het begin van mijn interesse in technologie en hardware. Door elk onderdeel zelf te kiezen en te assembleren, heb ik veel geleerd over de werking van computers en het oplossen van technische problemen.","{""DIY"",""PC Bouwen"",""Hardware""}","{}",
art_academy_2015_2019,en,hobbies,6,"Art Academy (Hobby)","Art'iz Art Academy","2015","2019","Explored design and visual arts at the art academy as a hobby.","During my time at Art'iz Art Academy, I developed creative skills in drawing, painting, and design. The experience fostered my appreciation for visual arts and encouraged personal artistic growth.","{""Graphics"",""Design"",""Art""}","{""/logos/artiz_tp.png""}",
art_academy_2015_2019,nl,hobbies,6,"Kunstacademie (Hobby)","Art'iz Kunstacademie","2015","2019","Design en beeldende kunst verkend aan de kunstacademie als hobby.","Tijdens mijn jaren aan Art'iz Kunstacademie heb ik creatieve vaardigheden ontwikkeld in tekenen, schilderen en ontwerpen. Deze ervaring heeft mijn waardering voor kunst vergroot en mijn persoonlijke groei gestimuleerd.","{""Grafisch"",""Design"",""Kunst""}","{""/logos/artiz_tp.png""}",
